pickup_datetime,dropoff_datetime,passenger_count,trip_distance,fare_amount,pickup_zone,dropoff_zone
2023-01-03 08:15:00,2023-01-03 08:32:00,1,4.2,18.5,Midtown East,Upper East Side
2023-01-03 09:05:00,2023-01-03 09:26:00,2,6.8,24.0,Times Sq,Financial District
2023-01-03 11:42:00,2023-01-03 11:55:00,1,2.1,11.0,SoHo,Greenwich Village
2023-01-04 14:12:00,2023-01-04 14:44:00,3,8.5,30.5,Upper West Side,LaGuardia Airport
2023-01-04 18:20:00,2023-01-04 18:37:00,1,3.7,15.0,Chelsea,Midtown West
2023-01-05 07:48:00,2023-01-05 08:09:00,2,5.4,20.5,Brooklyn Heights,Lower Manhattan
2023-01-05 12:30:00,2023-01-05 12:46:00,1,2.9,13.0,East Village,Union Sq
2023-01-06 16:11:00,2023-01-06 16:33:00,2,7.3,26.5,Harlem,Upper East Side
2023-01-06 21:05:00,2023-01-06 21:19:00,1,2.6,12.0,Hell's Kitchen,Midtown South
2023-01-07 10:22:00,2023-01-07 10:52:00,4,9.1,33.0,JFK Airport,Astoria
